연번,분류,주성분코드,제품코드,제품명,업체명,ATC코드,ATC코드명칭,비고
1,112,130830ASY,645302132,포크랄시럽(포수클로랄)_(9.5g/95mL),한림제약(주),N05CC01,chloral hydrate,
2,112,149203ATB,677100550,고나스정3mg(독세핀염산염)_(3.39mg/1정),(주)펜믹스,N06AA12,doxepin,
3,112,149203ATB,651904420,명세핀정3밀리그램(독세핀염산염)_(3.39mg/1정),명인제약(주),N06AA12,doxepin,
4,112,149203ATB,649001620,리치나잇정3밀리그램(독세핀염산염)_(3.39mg/1정),풍림무약(주),N06AA12,doxepin,
5,112,149203ATB,643507540,독세정3밀리그램(독세핀염산염)_(3.39mg/1정),한미약품(주),N06AA12,doxepin,
6,112,149203ATB,640006660,사일레노정3밀리그램(독세핀염산염)_(3.39mg/1정),씨제이헬스케어(주),N06AA12,doxepin,
7,112,149204ATB,677100560,고나스정6mg(독세핀염산염)_(6.78mg/1정),(주)펜믹스,N06AA12,doxepin,
8,112,149204ATB,651904430,명세핀정6밀리그램(독세핀염산염)_(6.78mg/1정),명인제약(주),N06AA12,doxepin,
9,112,149204ATB,649001610,리치나잇정6밀리그램(독세핀염산염)_(6.78mg/1정),풍림무약(주),N06AA12,doxepin,
10,112,149204ATB,643507530,독세정6밀리그램(독세핀염산염)_(6.78mg/1정),한미약품(주),N06AA12,doxepin,
11,112,149204ATB,648103870,슬리핀정6밀리그램(독세핀염산염)_(6.78mg/1정),경동제약(주),N06AA12,doxepin,
12,112,149204ATB,640006770,사일레노정6밀리그램(독세핀염산염)_(6.78mg/1정),씨제이헬스케어(주),N06AA12,doxepin,
13,112,160601ATB,651900330,루나팜정(플루니트라제팜)_(1mg/1정),명인제약(주),N05CD03,flunitrazepam,
14,112,160601ATB,657200130,라제팜정(플루니트라제팜)_(1mg/1정),환인제약(주),N05CD03,flunitrazepam,
15,112,161801ATB,642800250,달마돔정(플루라제팜염산염)_(15mg/1정),고려제약(주),N05CD01,flurazepam,
16,112,211701ATB,657802870,하나페노바르비탈정_(30mg/1정),하나제약(주),N03AA02,phenobarbital,
17,112,243501ATB,657202920,트리람정0.125밀리그램(트리아졸람)_(0.125mg/1정),환인제약(주),N05CD05,triazolam,
18,112,243501ATB,651901770,졸민정0.125밀리그람(트리아졸람)_(0.125mg/1정),명인제약(주),N05CD05,triazolam,
19,112,243501ATB,648901230,할시온정0.125밀리그램(트리아졸람)_(0.125mg/1정),한국화이자제약(주),N05CD05,triazolam,
20,112,243502ATB,657200830,트리람정0.25밀리그램(트리아졸람)_(0.25mg/1정),환인제약(주),N05CD05,triazolam,
21,112,243502ATB,651901780,졸민정0.25밀리그램(트리아졸람)_(0.25mg/1정),명인제약(주),N05CD05,triazolam,
22,112,243502ATB,648901240,할시온정0.25밀리그램(트리아졸람)_(0.25mg/1정),한국화이자제약(주),N05CD05,triazolam,
23,112,250501ATB,651901790,졸피신정10mg(졸피뎀타르타르산염)_(10mg/1정),명인제약(주),N05CF02,zolpidem,
24,112,250501ATB,657200670,졸피람정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),환인제약(주),N05CF02,zolpidem,
25,112,250501ATB,653003460,파마주석산졸피뎀정(졸피뎀타르타르산염)_(10mg/1정),(주)한국파마,N05CF02,zolpidem,
26,112,250501ATB,668100180,산도스졸피뎀정10mg(주석산졸피뎀)_(10mg/1정),한국산도스(주),N05CF02,zolpidem,
27,112,250501ATB,652100640,스틸녹스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),(주)한독,N05CF02,zolpidem,
28,112,250501ATB,649806810,스틸렉스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),명문제약(주),N05CF02,zolpidem,
29,112,250501ATB,643502320,졸피드정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),한미약품(주),N05CF02,zolpidem,
30,112,250501ATB,642801200,졸피움정(졸피뎀타르타르산염)_(10mg/1정),고려제약(주),N05CF02,zolpidem,
31,112,250501ATB,649507420,스립정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),유니메드제약(주),N05CF02,zolpidem,
32,112,250502ATB,651904470,졸피신정5mg(졸피뎀타르타르산염)_(5mg/1정),명인제약(주),N05CF02,zolpidem,
33,112,250502ATB,643507160,졸피드정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),한미약품(주),N05CF02,zolpidem,
34,112,250502ATB,649507410,스립정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),유니메드제약(주),N05CF02,zolpidem,
35,112,250503ATR,652100660,스틸녹스CR정6.25밀리그램(졸피뎀타르타르산염)_(6.25mg/1정),(주)한독,N05CF02,zolpidem,
36,112,250504ATR,652100650,스틸녹스CR정12.5밀리그램(졸피뎀타르타르산염)_(12.5mg/1정),(주)한독,N05CF02,zolpidem,
37,113,123102ATB,651901860,카마제핀정(카르바마제핀)_(0.2g/1정),명인제약(주),N03AF01,carbamazepine,
38,113,123102ATB,653601130,테그레톨정200밀리그램(카르바마제핀)_(0.2g/1정),한국노바티스(주),N03AF01,carbamazepine,
39,113,123102ATR,653001520,아트레톨씨알정(카르바마제핀)_(0.2g/1정),(주)한국파마,N03AF01,carbamazepine,
